단어,개수
어렵기,5
접는,1
자진철회했다,1
미미할,5
선,1
위에서,1
오르내리고,2
순매수세가,2
이어지며,4
수준이다,9
코스닥지수는,6
전환해,1
선에서,1
움직이고,3
전날일,1
명동점,1
딜링룸에서,1
직원들이,11
업무를,6
보고,70
시,12
분,1
포인트,1
을,1
개장했다유가증권시장에서,1
억원,1
억원을,1
사들이고,2
개인은,7
억원을,1
팔아치우고,2
있다코스피,1
대체로,1
상승하고,8
삼성전자와,1
,1
,1
에너지솔루션은,1
,1
오르고,7
있고,41
삼성와,1
화학도,1
,1
,1
중이다,115
네이버는,1
,1
카카오는,1
,2
현대차와,2
기아는,1
약보합세를,2
보이고,59
있다코스닥지수는,1
포인트,1
를,1
기록,10
억원,1
억원을,1
순매수하는,2
억원을,1
순매수,8
중이다코스닥,1
혼조세를,3
,3
중이고,2
엘앤에프도,1
,2
,1
셀트리온헬스케어도,1
펄어비스는,1
,1
하락하고,7
리노공업과,1
카카오게임즈도,1
있다간밤,1
서울경제,4
를,6
지수로,3
구성돼,3
기업으로,6
조,8
전체조,1
차지한다,2
대표적으로,3
확대되며,4
조,6
급등했으며,3
조,7
크고,5
다음달,7
주목할만하다고,3
배터리반도체바이오에,2
삼성자산운용이,2
밝혔다,4
지수다코스닥,2
실적뿐만,1
,40
에코프로비엠,5
천보와,4
리노공업,5
서울반도체,5
원익,8
알테오젠,5
레고켐바이오사이언스,6
상품으로,4
코스닥연합뉴스,1
캡처,1
발언이,1
나왔지만,1
매수가,1
대에서,1
강보합세를,2
분,1
포인트,1
을,1
나타내고,12
출발했다,3
억원,1
억원어치를,1
순매수하고,5
개인,31
홀로,6
억원어치를,1
순매도,5
반도체주,1
외국인,2
매수로,2
한지영,1
마이크론테크놀러지가,1
분기,29
실적을,29
발표한,23
반도체주에,1
투자심리를,2
호전시킬,1
것이라고,88
폭이,2
제한되고,1
금리를,2
인상할,1
내비치며,1
발언을,5
이어갔다,10
시가총액시총,1
상위권,1
삼성전자,1
에너지솔루션,1
하이닉스,1
만천원까지,1
오르며,2
기록했다,92
현대차,1
기아,1
카카오,1
운수장비,1
제조업,1
전기가스업,1
오르는,2
건설업,1
기계,1
내리고,2
시각,3
포인트,1
이다,1
코스닥시장에서,3
억원,1
억원어치를,1
억원어치를,1
에코프로비엠,1
에코프로,1
엘앤에프,1
,1
셀트리온헬스케어,1
펄어비스,1
사진삼성자산운용일,1
소부장소재부품장비,1
제약바이오,2
사진미래에셋자산운용일,1
구성되어,2
솔브레인,4
리노공업,4
에코프로비엠의,4
,2
를,2
코스닥,9
지수를,2
글로벌,5
세그먼트를,4
지수다코스닥,2
재무실적뿐,1
업의,1
뿐,6
,2
국내,5
투자하기,1
투자자들에,1
,3
밝혔다,1
는,4
상품이다,1
지수로,1
에,1
해당된다,1
,1
투자한다반도체의,1
예상되고,2
전기차,7
억원,4
나스닥,2
시장평가,2
주목할만하다고,1
코스닥글로벌상장지수펀드를,1
신규상장한다고,1
차전지와,1
천보,1
원익,1
파이낸셜뉴스,26
상장한다,2
미래에셋운용에,1
,1
기준,2
예상된다,19
전망된다,10
안정적인,32
신승우,2
한편,40
미래에셋자산운용,1
제공미래에셋자산운용은,1
타이거,1
상장지수펀드를,1
지수로,1
예상된다는,1
설명이다,22
급등했다,7
고객에게,1
문화상품권을,1
증정하는,1
이벤트도,2
열린다,5
만하다고,2
삼성운용,1
상장코스닥,1
삼성운용에,1
실제로,18
가능하다,16
,1
삼성자산운용,1
코스닥글로벌,1
내달초,1
개사,1
시밀러,50
출시,69
예정,1
사,22
이목,1
서울뉴시스,30
애브비,4
휴미라,1
사진뉴시스,5
,5
,11
재판매,27
,49
금지서울뉴시스송연주,15
연간,38
조원,7
휴미라자가면역질환,1
치료제,6
시장이,36
관련업계에,2
비롯해,47
국내외,2
개,57
휴미라성분명,8
아달리무맙,10
바이오시밀러를,52
출시할,8
계획이다,163
곳은,1
프레지니우스카비,2
등이다,6
이들은,11
월일,1
먼저,49
출시한,23
암젠의,12
맹추격해,1
가속화할,8
방침이다,42
미국에서만,9
억만,7
달러한화,10
조억원의,9
약물이다,4
류마티스,84
염증성,24
장질환,2
건선,16
자가면역질환에,2
사용된다,52
기업들은,7
제형측면의,1
점에서,15
특징적이다,1
일현지시간,10
출시한다,3
예정이다,119
장점이,12
통증을,10
유발할,9
구연산염도,2
제거했다월에,1
암제비타가,1
제형이라,1
삼성과,3
고농도를,1
출시하면,2
경쟁력이,18
있을,82
기대했다,13
아이큐비아의,2
분석,18
결과,86
판매되는,7
차지했다두,1
회사,111
외에도,24
산도즈가,1
오는,140
월,23
제형의,17
출시를,49
준비하고,37
이외에,5
비아트리스는,1
제품을,81
예정이고,2
알보텍도,1
준비,35
관심을,14
받는,8
시장인,30
등재에도,1
이목이,6
쏠리고,5
처방약급여관리업체,1
,1
이하,1
,1
하나인,27
옥텀의,1
제품에,50
빠지면서,2
위주의,2
특성상,13
경쟁력으로,9
꼽히는데,1
아직,33
불확실해,1
불안하다는,1
시각이,3
작용했다,7
셀트리온헬스케어는,71
홈페이지에,17
입장문을,5
내고,25
휴미라,1
등재와,2
오해가,2
회사는,3
등재하는,2
제품의,79
대기업인,1
한미약품이,2
년여,1
철회했습니다,1
국가에,38
코로나,20
공급하고,3
이로,3
인해,17
매출도,8
늘려보다는,1
취지였지만,1
생산도,1
전에,14
접은,2
겁니다,8
기업에서,4
벌어진,3
굵직한,23
경영진,10
개편이,1
전반적인,12
사업전략,3
수정으로,1
이어졌다는,1
분석입니다셀트리온,1
년,8
만에코로나,1
없던,6
일로,1
오늘일,1
월,34
셀트리온제약은,29
머크사의,1
몰누피라비르,2
해지하는,2
안건을,35
통과시켰습니다몰누피라비르상품명은,1
라게브리오는,1
머크사가,1
먹는,10
치료제입니다,1
셀트리온제약,22
해당,1
복제약을,1
청주,2
공장에서,4
생산할,3
계획이었지만,1
당시와,1
비교할,6
때,50
완화돼서,1
말했습니다,4
확보한,16
건,44
월입니다,1
셀트리온그룹은,80
계약으로,7
최대,227
개,1
머크사,1
계획이었습니다작년,1
보도자료에서,1
년,2
기준,5
공급될,39
천억원,1
규모에,3
달할,3
전망된다며,2
확대에,30
기대감도,6
숨기지,1
않았습니다셀트리온제약은,1
자료에서,1
내에,8
제품,228
완료한다는,15
제형,114
연구에,3
착수했다고,1
언급했지만,1
결과적으로,3
일이,8
됐습니다한미,1
생산계약,2
철회필요성,1
희석,1
월,1
복제약에,1
소식을,3
알렸지만,1
해지한,3
파악됐습니다당시,1
한미약품은,4
한미만의,1
고품질의,22
의약품을,25
세계에,2
공급하겠다며,1
종식을,1
한미의,1
담대한,1
발걸음이,1
시작됐다고,1
의미부여를,1
했습니다한미약품,1
이유에,4
코로나,6
팬데믹에서,1
전환된,1
데,87
만들,7
필요성이,2
희석됐다,1
어쩔,1
선택이라고,1
했습니다업계에선,1
예측불가의,1
상황을,23
감안해도,1
만의,2
해지는,1
매우,14
이례적이라고,1
말합니다,1
바이오,1
회사,3
입장에선,5
당장의,1
아쉬울,1
것이라며,30
년,1
흔한,3
아니다라고,3
바이오,1
엔데믹으로,1
전환되면서,1
것,49
같은데,1
단기간,1
해지하는,1
그런,11
경우는,5
흔하지,1
않다고,2
했습니다경영진,1
소용돌이,1
속,9
폭,6
변화,13
중단은,1
전환이,2
배경으로,7
보입니다,4
다만,3
수정은,1
폭의,6
변동이,1
맞물린,3
결과라는,3
분석도,8
나옵니다,2
월,21
복귀하면서,17
신약,426
개발에,59
방점을,2
찍는,2
내놨습니다,1
서,789
년까지,4
매출의,25
신약에서,3
내겠다고,3
했습니다신약,1
개발사로의,2
전환을,6
꿈꾸는,2
회장으로선,1
적은,4
생산에,7
들이는,2
틀의,1
사업전략과,1
맞지,4
않다고,2
판단했을,1
있습니다한미약품도,1
월,99
변화를,32
겪었습니다한미의,1
주역,2
인방이,1
일선에서,44
물러나는,2
세대교체가,1
이뤄졌습니다,3
권세창,1
사장,1
이관순,1
부회장,1
우종수,1
대표가,9
물러나고,1
박재현,1
부사장이,8
새,17
대표이사,19
자리에,6
올랐습니다특히나,1
오너,25
세들도,1
흐름입니다,1
고,1
임성기,1
선대,1
회장의,217
남매,1
장남인,10
임종윤,1
사장만이,1
이사회에,4
남아있습니다,1
당신의,10
제보가,18
뉴스로,19
만들어집니다,18
는,18
여러분의,46
제보를,42
기다리고,19
있습니다홈페이지,18
,18
휴미라월,1
스텔라라,63
특허,62
만료,20
맞춰,14
공략만,1
해도,13
수천억대셀트리온과,1
삼성바이오에피스가,4
조원,1
본격화한다일,1
삼성바이오에피스에,2
휴미라의,26
선보인다,1
휴미라사진,1
왼쪽과,1
스텔라라사진,1
오른쪽,1
사진,3
사진약학정보원미국에서,1
월부터,40
억천만,2
조,5
천억원의,1
제품이다,37
이중,23
비중만,1
이른다,4
적응증을,13
확보하고,18
있다삼성바이오에피스는,2
만료된,3
지역에,3
일찌감치,2
출시하며,5
처방실적,1
쌓기에,1
나섰다,15
년,20
유럽에,25
캐나다,2
호주에,13
하드리마를,2
출시했다,9
유럽,276
지역,56
분기,1
억,2
천억원을,1
돌파했다셀트리온은,1
이보다,1
늦은,1
월,44
한국,16
월,26
캐나다로부터,1
판매,89
얻었다대신,1
유플라이마는,34
제품으로는,8
처음,26
승인을,71
제품이란,1
과,1
,1
가지,28
용량,3
제형에,7
더해,31
,1
품목,47
변경,4
하며,2
제품군을,21
다양화하고,1
있다판상형,1
건선,39
건선성,36
궤양성,83
대장염,76
가지고,27
바이오시밀러에서는,2
앞서,67
월,79
유럽과,32
한국에,4
에,2
신청했다,13
존슨앤존슨의,1
스텔라라는,21
만료되며,1
조원으로,1
알려졌다셀트리온의,2
다변화는,1
스텔라라로까지,1
이어진다,2
바이오텍,25
라니,2
테라퓨틱스,4
와,1
경구형,114
체결했다,26
경구형으로,18
개발하는,10
계약도,7
맺었다삼성바이오에피스는,1
,1
상을,58
종료했지만,1
품목허가,89
신청,43
소식은,2
전해지지,1
자칫하면,1
동아에스티에게도,1
뒤쳐질,1
동아는,3
,1
완료했으며,19
미국과,41
눈앞에,1
두고,28
유럽의약품청과,1
미국식품의약국의,1
의견에,2
품목허가를,103
일차,2
평가변수의,1
평가시점을,1
주와,1
주로,1
다르게,3
설정해,2
진행했다,19
제품과의,1
치료적,1
동등성과,17
안전성을,72
입증한,13
빠르고,2
긍정적인,29
검토를,11
얻을,2
예상하고,32
있다동아,1
유럽은,1
분기,1
분기,18
신청한다는,15
게,104
공식입장이다고,1
말했다업계,1
휴미라나,1
스텔라라의,9
제품은,34
업체들이,2
하겠지만,1
꼭,3
이기고,1
점유율을,138
크게,62
가져가겠다는,1
생각은,10
아닐,3
해당,5
의,1
점유율만,1
차지해도,2
천,1
억원의,1
발생하기,1
때문에,77
뛰어들지,1
이유가,6
처방약급여관리업체,1
약제목록,1
등재돼야,1
가능해시장,1
,4
점유,1
옵텀등재목록에,1
셀트에피스,1
국내사,2
제외소식,1
알려지며,1
급락하기도여전히,1
가능하고고농도,1
개발로,8
승부,1
전망약,1
바이오시밀러바이오의약품의,2
본격적인,49
개장을,2
사흘,2
처방약급여관리업체가,1
전쟁의,1
승패를,1
변수로,3
급부상했다,1
체제로,9
논의하고,1
이를,104
역할을,42
공보험,5
영역에서도,1
에,1
맡기는,1
경우도,5
모든,43
의약품이,28
을,1
통해야만,1
아니지만,5
휴미라와,4
특수의약품은,1
등재되지,1
않는,18
사실상,13
약국,1
판매가,14
불가능하다,1
얼마나,6
의,2
등재되고,4
어느,8
등급에,1
놓이느냐에,1
따라서,10
성패가,1
갈릴,2
수밖에,8
상황인,3
셈이다,8
케어마크와,1
,1
,1
옵텀,1
,1
에,1
점유율로,13
과점,1
형성하고,1
이들의,12
올릴,4
장악해나갈,1
암제비타,1
당장,9
다음,10
달,21
일부터,5
유플라이마,5
삼성바이오에피스의,5
하드리마,2
산도스의,1
하이리모즈,1
알보텍의,2
휴킨드라,1
베링거인겔하임의,2
실테조,1
아브릴라다,1
코헤루스의,1
유심리,1
종,1
바이오시밀러가,16
나설,24
바이오콘의,1
훌리오,1
프레제니우스카비의,1
아이다시오,1
등도,36
조만간,7
계획인,2
개발사들도,1
사활을,3
걸,4
없다하지만,1
일현지시간,6
옵텀는,1
암제비타에,2
실테조,1
하이리모즈를,2
자사의,5
올린다고,1
발표했다,12
옵텀가,1
단,9
제품만을,1
넣겠다고,1
개발사들은,1
옵텀이,1
점유하고,3
대해서는,39
접근이,1
어려워진,1
셈이다이,1
전해지며,1
업체들의,3
주가도,8
전날,23
유플라이마를,14
개발생산하는,1
,2
유플라이마의,55
판매를,23
맡는,5
씩,1
전일,25
급락했다,2
,3
모회사인,1
삼성바이오로직스의,7
,1
빠진,2
것도,24
끼친,2
풀이된다,11
진화에,5
주주님들께,3
드리는,4
말씀을,2
공지하면서,1
휴밀라,1
시밀러의,6
있어,51
바로잡고자,1
한다며,1
현재,17
설명했다,1
싸움이,1
끝나지,2
않은,22
과도하다는,1
이번,21
등재는,1
옵텀의,1
영역으로,1
옵텀,1
내에서도,4
공보험과,1
사보험의,1
,1
로,1
등재도,1
남아,4
의,1
비,1
투명한,1
조직,5
가능성도,12
추측되고,1
기간도,1
금액에,1
다르다고,1
즉,1
가량만이,1
닫힌,2
불과하고,1
이마저도,3
완전히,7
아니라는,2
것이다미국,1
제형,1
위주로,4
재편됐다는,1
반격의,1
높이고,13
의,2
농도를,2
의,2
로,2
나뉜다,1
성분의,9
가,2
수요도,3
있지만,17
에,2
선호도가,7
훨씬,5
높다이는,1
암젠이,7
암제비타를,2
최초의,5
바이오시밀러로,34
출시했음에도,1
두드러진,3
얻지,2
배경이기도,3
하다,7
암제비타는,7
저농도로만,1
마쳤고,2
는,2
암젠은,4
,5
내년,53
내놓는다는,2
구상이다,12
삼성증권에,2
지난달,79
내에서,19
건밖에,1
처방되지,2
점유율이,41
수준에,7
그치고,2
전월,2
건,1
넘게,11
성장하기는,1
파급력을,1
갖진,1
상태다반면,2
승인된,24
외에는,5
하드리마삼성바이오에피스,1
유플라이마셀트리온,1
하이리모즈산도스,1
개에,1
불과하다,4
제외한,9
나머지,9
개는,1
제품이어서,1
본,5
게임이,1
시작되면,1
국내사들이,1
반격에,1
성공할,3
기대도,1
여전하다,2
외인기관,1
팔자거래일,1
전환인터넷유통금융,1
대,8
상승건설,1
하락셀트리온제약,1
대에코프로,1
상승이데일리,1
이은정,1
간밤,1
증시,6
빅테크주들이,1
상승세를,17
보인,20
개인이,6
사자세를,1
마켓포인트에,4
시분,1
포인트,1
상승한,14
를,1
선에서,1
출발했다직전,1
뉴욕증시,1
대형주,1
스탠더드앤드푸어스,1
,1
,1
에,1
마감하며,1
선에,1
근접했다,2
기술주,1
,1
뛴,2
만을,1
기록했다한지영,1
연방준비제도,1
연설을,1
앞둔,15
경계심리에도,1
경제지표,1
개선에,9
따른,51
반등에,1
힘입어,11
보일,7
것이라며,37
빅테크와,1
관련주가,2
반등한,1
반도체와,3
성장주에,2
줄,47
수급별로는,1
억원,1
억원,1
억원,1
프로그램,6
매매는,1
차익과,1
비차익을,1
합쳐,1
억원,1
매도,3
우위다,2
인터넷,1
유통,2
금융,1
소프트웨어는,1
대,2
기계장비,1
반도체,3
화학,2
,1
,1
통신장비,1
오락문화,2
종이목재,2
제조,3
금속,1
섬유의류,2
제약,3
부품,1
운송,1
,7
미만,3
건설,18
시총상위주들은,1
셀트리온제약,3
더블유씨피는,1
대,4
에코프로,1
셀트리온헬스케어는,6
,1
오스템임플란트,1
는,1
펄어비스는,1
대,5
케어젠은,1
은,1
로컬,13
염증성장질환,10
학회,38
,9
,3
,4
참가국내,1
유일,2
참가기업인,1
애브비얀센릴리,1
등과,13
후원기업에,1
이름램시마유플라이마,1
차별화,14
강점,1
부각현지,1
의료진,10
문의,1
줄이어,1
파리,17
북서쪽,2
센강,2
인근,14
부촌,1
뇌이쉬르센에,1
위치한,28
하트만,12
종합병원,3
전경,21
일현지시간,1
,68
,12
가,1
